Symbol,name,country,sector,industry group,industry,exchange
CFIIMSCLD.SN,Fondo de Inversión Credicorp Capital Spread Corporativo Local,Chile,,,,SGO
CFIIMSCLE.SN,Fondo de Inversión Credicorp Capital Spread Corporativo Local,Chile,,,,SGO
CFIIMSCLI.SN,Fondo de Inversión Credicorp Capital Spread Corporativo Local,Chile,,,,SGO
CFIIMTDC-B.SN,Fondo De Inversiã“N IM Trust Deuda Corporativa Investment Grade Serie B,Chile,,,,SGO
CFIIMTDC-I.SN,Fondo de Inversion IM Trust Deuda Corporativa Investment Grade,Chile,,,,SGO
CFIIMTDSUR.SN,Fondo de Inversión Credicorp Capital Tierras del Sur,Chile,,,,SGO
CFILCPPG-E.SN, Link Capital Partners Administradora General De Fondos SA-  Fondo de Inversion Link Capital Partner,Chile,,,,SGO
CFILEASA.SN,Sartor Administradora General de Fondos S.A. - Fondo De Inversion Sartor Leasing Fund,Chile,,,,SGO
CFILEASI-E.SN,Sartor Administradora General de Fondos S.A. - Fondo De Inversion Sartor Leasing Fund,Chile,,,,SGO
CFILGTVA-E.SN,Ameris Capital Administradora General de Fondos S.A - Ameris Lgt Secondaries V FI Fund,Chile,,,,SGO
CFILGTVB-E.SN,Ameris Capital Administradora General de Fondos S.A - Ameris Lgt Secondaries V FI Fund,Chile,,,,SGO
CFILVCHI-U.SN,Fondo de Inversion LarrainVial Chile Equity,Chile,,,,SGO
CFIHYUF-A.SN,Larrainvial Asset Management ADM GE - Fundo De Inversion Larrainvial Deuda Latam,Chile,,,,SGO
CFILVCOR-I.SN,Larrain Vial Deuda Corporativa Chile Fondo de Inversion,Chile,,,,SGO
CFIFYNDIIE.SN,FYNSA Adm Gen De Fondos Sa - Fondo De Inversión Fynsa Desarollo Inmobiliario,Chile,,,,SGO
CFIFALCTAC.SN,Fondo De Inversion Falcom Tactical Chilean Equities,Chile,,,,SGO
CFICIP7B-E.SN,Nevasa HMC SA Administradora General De Fondos - Nevasa HMC CIP VII Global Securities II Fund,Chile,,,,SGO
CFICLCDB-E.SN,Fondo Mutuo Compass Latam Corporate Debt,Chile,,,,SGO
CFICLHYA-E.SN,Compass Group Chile S.A. Administradora General de Fondos - Compass Latam High Yield Fondo De Invers,Chile,,,,SGO
CFICLHYI-E.SN,Compass Group Chile S.A. Administradora General de Fondos - Compass Latam High Yield Fondo De Invers,Chile,,,,SGO
CFICOF3R-E.SN,Compass Group Chile S.A. Administradora General de Fondos - Compass COF III Private Debt Fondo de In,Chile,,,,SGO
CFICOMDPA.SN,Compass Deuda Plus Fondo De Inversion,Chile,,,,SGO
CFICOMDPB.SN,Compass Deuda Plus Fondo De Inversion,Chile,,,,SGO
CFIDEU3P-E.SN,Volcomcapital Administradora General De Fondos - Cuota Fondos De Inversion,Chile,,,,SGO
CFIDHS1.SN,Larrain Vial Act. Sa AGF - Fondo De Inversion Activa Deuda Hipotecaria Con Subsidio Habitacional I,Chile,,,,SGO
CFIDHS2-A.SN,Larrain Vial Activos S A Administradora General De Fondos - Cuota De Fondo De Inversion,Chile,,,,SGO
CFIDLDA-E.SN,BTG Pactual High Yield Latin America Fondo de Inversion,Chile,,,,SGO
CFIEADSCUE.SN,Euroamerica Administradora General - Fondo de Inversion Euroamerica Descuento Fund,Chile,,,,SGO
CFIEAIDMCO.SN,Euroamerica Administradora General - Fondo de Inversión Euroamérica Investments Ahorro Dinámico,Chile,,,,SGO
CFIFTFEX-E.SN,Frontal Trust Financiamiento Estructurado Exxacon Fondo De Inversion,Chile,,,,SGO
CFIEAIGLAT.SN,Euroamerica Administradora General - Fondo de Inversion Euroamerica Investment Grade Latam Fund,Chile,,,,SGO
CFIEAIHYUF.SN,Fondo de Inversion Euroamerica Investments High Yield UF,Chile,,,,SGO
CFIEAPRO-I.SN,Euroamerica Administradora General De Fondos SA - Fondo de Inversion EuroAmerica Property Fund,Chile,,,,SGO
CFIEARFCHA.SN,Euroamerica Administradora General De Fondos SA - FI Renta Fija Chile Index Fund,Chile,,,,SGO
CFIETFCC.SN,Fondo De Inversion ETF Singular Chile Corporativo,Chile,,,,SGO
CFIETFCD.SN,Fondo de Inversion ETF Singular Chile Corta Duracion,Chile,,,,SGO
CFIETFGE.SN,Fondo De Inversion ETF Singular Global Equities,Chile,,,,SGO
CFIFALCFIG.SN,Falcon ADM General De Fondos SA - Fondo De Inversion Falcom Fixed Income Fund,Chile,,,,SGO
CFIFALCFIM.SN,Falcon ADM General De Fondos SA - Fondo De Inversion Falcom Chilean Fixed Income Fund,Chile,,,,SGO
CFIFALCFIW.SN,Falcon ADM General De Fondos SA - Fondo De Inversion Falcom Chilean Fixed Income Fund,Chile,,,,SGO
CFIFALCGLA.SN,Falcon ADM General De Fondos SA - Fondo De Inversion Falcom Global Strategy Fund,Chile,,,,SGO
CFIFALCGLC.SN,Falcon ADM General De Fondos SA - Fondo De Inversion Falcom Global Strategy Fund,Chile,,,,SGO
CFIFALCGLI.SN,Falcon ADM General De Fondos SA - Fondo De Inversion Falcom Global Strategy Fund,Chile,,,,SGO
CFIFALCSCA.SN,Falcon ADM General De Fondos SA - Fondo De Inversion Falcom Equity Strategy Fund,Chile,,,,SGO
CFIEAIGPCA.SN,Fondo de Inversión Euroamérica Investments Gestión Patrimonial,Chile,,,,SGO
CFICGGLTB.SN,Copass Group Chile - Compass Global Trends Fund,Chile,,,,SGO
CFILVCOR-O.SN,Fondo De Inversion Larrainvial Deuda Corporativa Fund,Chile,,,,SGO
CFILVDE-A.SN,Larrainvial Asset Management Administradora General - Fundo Inversion Tasas Chile Retorno Absoluto F,Chile,,,,SGO
CFIMBIGL-C.SN,MBI Administradora General de Fondos S.A. - MBI Global Fondo de Inversion,Chile,,,,SGO
CFIMBIOB-E.SN,MBI Oportunidades Fondo de Inversión,Chile,,,,SGO
CFIMBIRAPV.SN,MBI Administradora General de Fondos S.A. - MBI Deuda Privada Fondo de Inversion,Chile,,,,SGO
CFIMBIRF-A.SN,MBI Deuda Plus Fondo De Inversion,Chile,,,,SGO
CFIMBIRF-C.SN,MBI Deuda Plus Fondo De Inversion,Chile,,,,SGO
CFIMBIRF-D.SN,MBI Administradora General de Fondos S.A. - MBI Deuda Privada Fondo de Inversion,Chile,,,,SGO
CFIMBIRFUS.SN,MBI Renta Fija Plus Dólar Fondo De Inversión,Chile,,,,SGO
CFIMBIRT-A.SN,MBI Administradora General de Fondos S.A. - MBI Rendimiento Total Fondo De Inversion Fund,Chile,,,,SGO
CFIMCRIX-E.SN,Ameris Capital Administradora General de Fondos S.A. - Ameris Mc Renta Industrial Fondo De Inversion,Chile,,,,SGO
CFIMFUS-E.SN,HMC SA Administradora General De Fondos - Fondo de Inversión HMC Multifamily US Fund,Chile,,,,SGO
CFIMSIGLO.SN,BICE Siglo XXI FI,Chile,,,,SGO
CFINHRFLA.SN,Fondo De Inversion Nevasa HMC Renta Fija Local,Chile,,,,SGO
CFINHRFLB.SN,Fondo De Inversion Nevasa HMC Renta Fija Local,Chile,,,,SGO
CFIMBIGF-B.SN,MBI Administradora General De Fondo - MBI Global Fixed Income Fondo De Inversion,Chile,,,,SGO
CFINRENTAS.SN,Fondo de Inversion Independencia Rentas Inmobiliarias,Chile,,,,SGO
CFIOREIA-E.SN,Singular Asset Mgmt Admgral De Fondos Sa - Fondo de Inversion Singular Oaktree Real Estate Income,Chile,,,,SGO
CFIOREII-E.SN,Singular Asset Mgmt Admgral De Fondos Sa - Fondo de Inversion Singular Oaktree Real Estate Income,Chile,,,,SGO
CFIPASP8-E.SN,Picton Administradora General De Fondos SA - American Securities Partners VIII Fund,Chile,,,,SGO
CFIPD7BP-E.SN,Nevasa HMC SA Administradora General De Fondos - Fondo de Inversión Nevasa HMC Pearl Diver VII Fund,Chile,,,,SGO
CFIPGTPB-E.SN,Link Capital Partners Administradora General De Fondos SA,Chile,,,,SGO
CFIPROYA.SN,Sartor Administradora General de Fondos S.A. - Fondo De Inversion Sartor Proyeccion Fund,Chile,,,,SGO
CFIPTP8A-E.SN,Picton ADM General De Fondos S.A - Picton Tpg VIII Fondo De Inversion Fund,Chile,,,,SGO
CFIQDCA.SN,Quest Administradora General De Fondos - Quest Deuda Chile Investment Grade FI,Chile,,,,SGO
CFIQDIA-E.SN,Quest Administradora General de Fondos - Quest Doble Impacto Fondo De Inversion,Chile,,,,SGO
CFIQGD-A.SN,CHG Administradora General de Fondos - CHG Global Debt Fund,Chile,,,,SGO
CFIQGE-A.SN,CHG Administradora General de Fondos - CHG Global Equity Fund,Chile,,,,SGO
CFIQRGA.SN,Chg Renta Global Fondo De Inversion,Chile,,,,SGO
CFIQRGB.SN,Chg Renta Global Fondo De Inversion,Chile,,,,SGO
CFINVDPR-E.SN,Nevasa Hmc Sa Administradora General De Fondos - Nevasa Deuda Privada Fund,Chile,,,,SGO
CFILVD1L-E.SN,Fondo De Inversion Desarrollo Inmobiliario I,Chile,,,,SGO
CFIMBIGF-A.SN,MBI Administradora General De Fondo - MBI Global Fixed Income Fondo De Inversion,Chile,,,,SGO
CFIMBIDT-I.SN,MBI Administradora General De Fondo - MBI Deuda Total Fondo De Inversion,Chile,,,,SGO
CFILVDE-I.SN,Larrainvial Asset Management Administradora General - Fundo Inversion Tasas Chile Retorno Absoluto F,Chile,,,,SGO
CFILVDLA-A.SN,Larrainvial Asset Management SICAV - Fondo de Inversión LarrainVial Deuda Local,Chile,,,,SGO
CFILVDLI-I.SN,Larrainvial Asset Management SICAV - Fondo de Inversión LarrainVial Deuda Local,Chile,,,,SGO
CFILVDLO-O.SN,Larrainvial Asset Management SICAV - Fondo de Inversión LarrainVial Deuda Local,Chile,,,,SGO
CFILVDPU-E.SN,Larrainvial Asset Management Administradora General - Fondo De Inversion Larrainvial Deuda Privada F,Chile,,,,SGO
CFILVEU-U.SN,Fondo de Inversión LarrainVial Estados Unidos,Chile,,,,SGO
CFILVFA-A.SN,Fondo De Inversion Larrainvial Facturas,Chile,,,,SGO
CFILVFA-L.SN,Fondo De Inversion Larrainvial Facturas,Chile,,,,SGO
CFILVHYL-A.SN,Natixis European ABS Opportunities,Chile,,,,SGO
CFILVMAG-A.SN,Fondo de Inversion Larrain Vial - Magallanes II,Chile,,,,SGO
CFILVMXA-E.SN,Larrain Vial Activos S.A. Administradora General - FI Larrain Vial Mexico Mezzanine,Chile,,,,SGO
CFILVMXI-E.SN,Larrain Vial Activos S.A. Administradora General - FI Larrain Vial Mexico Mezzanine,Chile,,,,SGO
CFICGGLOEB.SN,Compass Global Equity Fondo de Inversion,Chile,,,,SGO
CFIMBIGAPV.SN,MBI Administradora General de Fondos S.A. - MBI Global Fondo de Inversion,Chile,,,,SGO
CFILVRR-A.SN,Larrainvial Asset Management Administradora General - Fondo De Inversion Larrainvial Rentas Residenc,Chile,,,,SGO
CFIMBA-APV.SN,MBI Arbitrage Fondo de Inversion,Chile,,,,SGO
CFIMBDPA-E.SN,MBI Administradora General de Fondos S.A. - MBI Deuda Privada Fondo de Inversion,Chile,,,,SGO
CFIMBDPC-E.SN,MBI Administradora General de Fondos S.A. - MBI Deuda Privada Fondo de Inversion,Chile,,,,SGO
CFIMBIAR-A.SN,MBI Arbitrage Fondo de Inversion,Chile,,,,SGO
CFIMBIAR-I.SN,MBI Arbitrage Fondo de Inversion,Chile,,,,SGO
CFIMBIDA-A.SN,MBI Administradora General De Fondo - MBI Deuda Alternativa Fondo De Inversion,Chile,,,,SGO
CFIMBIDA-B.SN,MBI Administradora General De Fondo - MBI Deuda Alternativa Fondo De Inversion,Chile,,,,SGO
CFIMBIDL-A.SN,Mbi Deuda Latam Fondo De Inversion,Chile,,,,SGO
CFIMBIDL-B.SN,Mbi Deuda Latam Fondo De Inversion,Chile,,,,SGO
CFIMBIDL-D.SN,Mbi Deuda Latam Fondo De Inversion,Chile,,,,SGO
CFIMBIDT-A.SN,MBI Administradora General De Fondo - MBI Deuda Total Fondo De Inversion,Chile,,,,SGO
CFIMBIDT-B.SN,MBI Administradora General De Fondo - MBI Deuda Total Fondo De Inversion,Chile,,,,SGO
CFIMBIDT-C.SN,MBI Administradora General De Fondo - MBI Deuda Total Fondo De Inversion,Chile,,,,SGO
CFILVSCC-U.SN,Fondo de Inversion LarrainVial Small Cap Chile Fund,Chile,,,,SGO
CFILVPARI1.SN,Aurus Capital Renta Inmobiliaria Fondo de Inversión,Chile,,,,SGO
